Palavra;Peso;Classe favorecida
230;-0.003149342335409622;Verdadeira
232;0.03517456453963326;Fake
233;0.015666717669792954;Fake
234;0.029728164351337842;Fake
235;-0.02968012325220088;Verdadeira
236;-0.027884861778578216;Verdadeira
237;0.0;Neutra
238;-0.03295545769749759;Verdadeira
239;-0.0011753731540886112;Verdadeira
23a;0.031672427543979746;Fake
23h;-0.19057465772605392;Verdadeira
23h30;-0.0638143847419141;Verdadeira
23h59;-0.179619048661848;Verdadeira
24;-0.20534178307482862;Verdadeira
240;0.08976592463077196;Fake
241;0.11478112207043122;Fake
242;-0.0015998597247886606;Verdadeira
244;-0.05361622058651442;Verdadeira
246;-0.061505250556371016;Verdadeira
248;-0.04343997872719875;Verdadeira
249;-0.008034782768179349;Verdadeira
24a;0.029554040107162286;Fake
24h;-0.007613483712833971;Verdadeira
25;-0.37432385722011763;Verdadeira
250;-0.07110483965484576;Verdadeira
252;-0.017521135984989878;Verdadeira
254;-0.007376572404743947;Verdadeira
256;0.041659521418540735;Fake
257;-0.007613483712833972;Verdadeira
25o;0.012822495081169828;Fake
26;-0.7448882154414239;Verdadeira
260;-0.03245446695532954;Verdadeira
261;-0.031436120681021286;Verdadeira
263;-0.059553451693540614;Verdadeira
265;-0.01657482330793258;Verdadeira
266;-0.007004508633953261;Verdadeira
267;-0.009793994645632109;Verdadeira
268;0.0;Neutra
26o;-0.12475362344368873;Verdadeira
27;-0.17734880590985194;Verdadeira
270;-0.09374019497483536;Verdadeira
275;0.010938177871335263;Fake
276;0.0;Neutra
277;0.0;Neutra
279;-0.05857549622250999;Verdadeira
28;-0.17220457729215718;Verdadeira
280;0.045136534575089635;Fake
285;-0.0024701477724226035;Verdadeira
286;-0.06805359312288232;Verdadeira
29;-0.14880026041026517;Verdadeira
290;-0.03928122634485999;Verdadeira
2909;0.0;Neutra
293;0.0;Neutra
295;-0.009870979122637851;Verdadeira
298;0.03865684782944384;Fake
2a;0.12277506771979131;Fake
2h;-0.13171825210059007;Verdadeira
2h30;-0.02562340459485089;Verdadeira
2km;-0.03560080660724178;Verdadeira
